aX,aY,aZ,gX,gY,gZ
-0.567,0.592,-0.826,-25.146,-12.573,-11.719
-0.621,0.348,-0.756,-24.719,-18.616,-11.719
-0.694,0.259,-0.717,-13.855,-25.757,-7.141
-0.776,0.244,-0.800,-13.367,-28.809,-5.981
-0.738,0.289,-0.854,-31.860,-48.584,-9.583
-0.790,0.320,-0.855,-41.626,-64.392,-14.221
-0.953,0.309,-0.812,-41.504,-97.778,-18.494
-1.394,0.389,-0.798,-34.180,-115.479,-16.846
-1.673,0.445,-0.866,-18.066,-171.814,-32.410
-2.315,0.415,-1.133,-6.653,-218.506,-49.683
-2.580,0.333,-1.309,28.748,-352.234,-73.059
-2.864,0.332,-1.711,34.729,-431.274,-74.829
-2.957,0.392,-1.871,29.297,-514.648,-78.003
-3.217,0.200,-1.892,1.953,-701.050,-92.651
-3.291,-0.004,-1.788,-23.560,-796.631,-88.623
-3.284,-0.164,-1.605,-86.548,-964.294,-14.038
-3.220,0.092,-1.077,-115.479,-1037.292,44.617
-3.476,0.365,-0.831,-142.822,-1224.792,114.502
-4.000,0.725,-0.091,-117.676,-1382.751,111.694
-4.000,0.561,1.136,85.632,-1647.217,49.683
-3.993,-0.004,4.000,193.542,-1599.609,-2.808
-3.982,-0.180,4.000,44.739,-1092.651,-44.373
-3.110,-0.119,3.982,-92.224,-782.349,-22.888
-2.211,0.095,3.941,-194.946,-455.383,64.087
-0.740,1.458,4.000,-151.062,-410.278,90.393
-0.230,1.468,4.000,53.833,-190.674,-0.488
0.224,-0.265,2.904,46.753,-9.583,-33.569
0.250,-0.432,1.429,-45.471,124.268,-0.977
0.247,-0.035,0.129,-117.981,106.750,120.239
-0.032,1.029,-0.841,-88.440,9.338,135.376
-0.219,1.324,-0.515,-74.402,-155.701,49.072
-0.408,0.854,1.078,-50.232,-177.551,-7.874
-0.395,0.443,1.731,16.541,-120.483,-37.415
-0.228,0.207,1.855,29.602,-59.448,-14.893
-0.167,0.380,1.396,-3.113,36.621,33.020
-0.117,0.753,0.597,-23.560,42.114,35.889
